time_s,longitude_deg,latitude_deg,height_m,speed_mps,theta_deg,psi_deg
0.000000,20.000000,38.000000,50000.000,4000.000,40.7598,90.0000
4.137786,20.138691,37.999897,60509.555,3841.491,40.4521,90.1080
8.275571,20.274632,37.999596,70712.717,3790.934,40.1312,90.2144
12.413357,20.409645,37.999099,80746.420,3760.313,39.8042,90.3203
16.551142,20.544092,37.998409,90637.338,3734.008,39.4726,90.4259
20.688928,20.678054,37.997528,100391.330,3708.831,39.1365,90.5312
24.826714,20.811556,37.996456,110009.946,3684.101,38.7961,90.6363
28.964499,20.944607,37.995196,119493.804,3659.670,38.4513,90.7411
33.102285,21.077218,37.993748,128843.318,3635.504,38.1021,90.8457
37.240070,21.209394,37.992116,138058.846,3611.598,37.7484,90.9501
41.377856,21.341144,37.990300,147140.732,3587.950,37.3902,91.0542
45.515642,21.472475,37.988301,156089.312,3564.562,37.0274,91.1581
49.653427,21.603393,37.986122,164904.913,3541.434,36.6600,91.2618
53.791213,21.733905,37.983763,173587.856,3518.567,36.2881,91.3653
57.928998,21.864019,37.981226,182138.459,3495.962,35.9115,91.4686
62.066784,21.993742,37.978513,190557.031,3473.622,35.5301,91.5716
66.204570,22.123079,37.975624,198843.876,3451.546,35.1441,91.6744
70.342355,22.252038,37.972561,206999.292,3429.737,34.7534,91.7771
74.480141,22.380626,37.969326,215023.573,3408.196,34.3578,91.8795
78.617926,22.508848,37.965918,222917.005,3386.924,33.9574,91.9817
82.755712,22.636711,37.962340,230679.870,3365.924,33.5522,92.0837
86.893498,22.764221,37.958593,238312.443,3345.197,33.1422,92.1855
91.031283,22.891385,37.954678,245814.996,3324.744,32.7272,92.2871
95.169069,23.018210,37.950595,253187.793,3304.567,32.3074,92.3885
99.306855,23.144700,37.946346,260431.093,3284.668,31.8826,92.4898
103.444640,23.270862,37.941932,267545.152,3265.050,31.4529,92.5908
107.582426,23.396703,37.937354,274530.219,3245.713,31.0182,92.6916
111.720211,23.522227,37.932612,281386.536,3226.660,30.5785,92.7923
115.857997,23.647442,37.927709,288114.343,3207.893,30.1339,92.8928
119.995783,23.772352,37.922643,294713.875,3189.414,29.6842,92.9931
124.133568,23.896964,37.917417,301185.358,3171.225,29.2296,93.0932
128.271354,24.021284,37.912031,307529.017,3153.328,28.7699,93.1931
132.409139,24.145316,37.906486,313745.070,3135.726,28.3052,93.2929
